19711,2017-08-11 14:19:50,2017-08-11 19:12:02,17532,C6698,2P MTR M-SAT 7:30-20:30,Titles,681,FRANKLIN STREET,QUEEN STREET,ELIZABETH STREET,1,False
18053,2017-02-07 06:01:21,2017-02-07 06:16:12,891,C1024,,Banks,1171,QUEEN STREET,FLINDERS STREET,FLINDERS LANE,1,False
23073,2017-12-21 16:05:57,2017-12-21 16:49:58,2641,3801S,1P TKT A M-SAT 7:30-18:30,Titles,856,LA TROBE STREET,QUEEN STREET,ELIZABETH STREET,4,False
19680,2017-09-04 16:04:33,2017-09-04 16:29:57,1524,6542N,1/2P MTR M-SAT 7:30-19:30,The Mac,681,FRANKLIN STREET,ELIZABETH STREET,SWANSTON STREET,3,False
18443,2017-06-12 11:31:58,2017-06-12 14:24:01,10323,59W,2P MTR M-SAT 7:30-20:30,Princes Theatre,1288,SPRING STREET,LITTLE BOURKE STREET,BOURKE STREET,5,False
17416,2017-02-11 17:16:11,2017-02-11 17:17:39,88,13383W,2P TKT A SAT 7:30-20:30,Docklands,1383,VILLAGE STREET,COLLINS STREET,BRENTANI WAY,5,False
18350,2017-05-03 10:50:03,2017-05-03 12:50:29,7226,C308,2P MTR M-SAT 7:30-20:30,Hyatt,647,EXHIBITION STREET,COLLINS STREET,FLINDERS LANE,1,False
18302,2017-02-17 07:30:00,2017-02-17 08:58:50,5330,551W,2P MTR M-SAT 7.30 -16.30,Regency,647,EXHIBITION STREET,LITTLE LONSDALE STREET,LONSDALE STREET,5,False
21621,2017-08-29 17:36:23,2017-08-29 18:17:57,2494,9078N,2P TKT A M-F 7:30-18:30,Southbank,60,BALSTON STREET,CITY ROAD,KAVANAGH STREET,3,False
17988,2017-08-28 12:39:48,2017-08-28 12:42:32,164,1355W,1/4P M-F 7:30-19:30,Supreme,1428,WILLIAM STREET,LONSDALE STREET,LITTLE BOURKE STREET,5,False
18669,2017-01-04 07:39:33,2017-01-04 08:03:43,1450,2234N,1P MTR M-SAT 7:30-18:30,RACV,911,LITTLE COLLINS STREET,WILLIAM STREET,QUEEN STREET,3,False
17854,2017-07-11 18:20:35,2017-07-11 18:22:00,85,1478E,,County,839,KING STREET,LITTLE BOURKE STREET,BOURKE STREET,2,False
18003,2017-09-07 16:03:05,2017-09-07 16:03:25,20,1375W,1P MTR M-SAT 7:30-18:30,Mint,1428,WILLIAM STREET,LA TROBE STREET,LITTLE LONSDALE STREET,5,False
17416,2017-01-10 12:50:25,2017-01-10 12:53:44,199,1565W,2P TKT A M-F 9:30-16:00,Magistrates,1285,SPENCER STREET,LITTLE LONSDALE STREET,LONSDALE STREET,5,False
21798,2017-12-05 17:47:51,2017-12-05 18:12:41,1490,9363S,2P TKT A M-F 7:30-18:30,Southbank,547,COVENTRY STREET,DODDS STREET,WELLS STREET,4,False
17425,2017-05-08 17:39:12,2017-05-08 17:44:34,322,13403W,1/4P M-F 16:00-18:30,Docklands,1383,VILLAGE STREET,BRENTANI WAY,MCCRAE STREET,5,False
18972,2017-09-04 13:54:16,2017-09-04 14:01:29,433,C2922,1P MTR M-SAT 7:30-19:30,Hardware,894,LONSDALE STREET,QUEEN STREET,ELIZABETH STREET,1,False
19563,2017-10-11 15:31:27,2017-10-11 15:35:53,266,4576E,2P MTR M-SAT 7:30-20:30,The Mac,1221,RUSSELL STREET,VICTORIA STREET,LA TROBE STREET,2,False
17786,2017-08-30 06:52:51,2017-08-30 09:44:07,10276,1386E,,Rialto,839,KING STREET,FLINDERS LANE,FLINDERS STREET,2,False
17998,2017-10-09 07:30:00,2017-10-09 11:27:57,14277,1370E,1P TKT A M-SAT 7:30-18:30,Mint,1428,WILLIAM STREET,LA TROBE STREET,LITTLE LONSDALE STREET,2,True
18034,2017-03-10 08:15:25,2017-03-10 08:17:44,139,1268E,1P MTR M-SAT 7:30-18:30,Titles,1171,QUEEN STREET,LA TROBE STREET,LITTLE LONSDALE STREET,2,False
17394,2017-06-13 14:01:09,2017-06-13 17:44:54,13425,13354E,2P MTR M-SAT 7:30-18:30,Docklands,753,HARBOUR ESPLANADE,LA TROBE STREET,BOURKE STREET,2,False
21595,2017-07-15 13:18:10,2017-07-15 13:18:59,49,8018E,,Southbank,1416,WELLS STREET,COVENTRY STREET,DORCAS STREET,2,False
21226,2017-01-01 18:00:00,2017-01-01 22:31:05,16265,12387S,,Jolimont,178,CATHEDRAL PLACE,GISBORNE STREET,LANSDOWNE STREET,4,False
22124,2017-07-11 16:50:24,2017-07-11 23:00:00,22176,11513S,1P TKT RPE M-SAT 7:30-23:00,West Melbourne,818,JEFFCOTT STREET,KING STREET,SPENCER STREET,4,True
18138,2017-01-18 18:59:57,2017-01-18 19:02:06,129,C1254,2P MTR M-SAT 7:30-20:30,Titles,1171,QUEEN STREET,LA TROBE STREET,LITTLE LONSDALE STREET,1,False
21213,2017-07-27 13:35:37,2017-07-27 13:36:39,62,12367S,2P MTR M-F 9:30-18:30,East Melbourne,16,ALBERT STREET,LANSDOWNE STREET,EADES STREET,4,False
19985,2017-11-16 10:38:34,2017-11-16 19:04:32,30358,7060N,3P MTR M-SAT 7:30-20:30,Queensberry,614,DUDLEY STREET,MILTON STREET,WILLIAM STREET,3,False
19325,2017-10-21 09:38:26,2017-10-21 12:28:36,10210,3761S,1P TKT A M-SAT 7:30-18:30,The Mac,856,LA TROBE STREET,ELIZABETH STREET,SWANSTON STREET,4,False
19507,2017-02-22 07:52:16,2017-02-22 09:53:19,7263,6254N,4P TKT A M-SAT 7:30-20:30,Regency,941,MACKENZIE STREET,RUSSELL STREET,VICTORIA STREET,3,False
21283,2017-08-25 07:22:32,2017-08-25 07:30:00,448,12477S,,Jolimont,1290,ST ANDREWS PLACE,MACARTHUR STREET,LANSDOWNE STREET,4,False
18960,2017-08-28 13:10:38,2017-08-28 13:12:06,88,2890N,1P MTR M-F 7:30-16:00,Library,894,LONSDALE STREET,SWANSTON STREET,RUSSELL STREET,3,False
19032,2017-02-03 06:10:50,2017-02-03 06:12:07,77,C3058,,Supreme,894,LONSDALE STREET,WILLIAM STREET,QUEEN STREET,1,False
18802,2017-04-28 08:08:20,2017-04-28 09:37:24,5344,2504N,LZ 15M M-F 7:30-19:30,Princes Theatre,907,LITTLE BOURKE STREET,EXHIBITION STREET,SPRING STREET,3,False
16148,2017-01-01 15:41:25,2017-01-01 18:16:39,9314,11526N,,West Melbourne,818,JEFFCOTT STREET,KING STREET,SPENCER STREET,3,False
21470,2017-01-21 07:30:00,2017-01-21 10:15:07,9907,9850N,2P TKT A M-SAT 7:30-18:30,Southbank,728,GRANT STREET,WELLS STREET,ST KILDA ROAD,3,False
17745,2017-07-11 23:34:48,2017-07-12 00:00:00,1512,C13572,,Docklands,123,BOURKE STREET,GEOGRAPHE STREET,ENTERPRIZE WAY,1,False
17412,2017-10-11 05:39:20,2017-10-11 06:24:33,2713,13375W,,Docklands,1383,VILLAGE STREET,FISHPLATE LANE,COLLINS STREET,5,False
20481,2017-03-30 07:30:00,2017-03-30 07:46:02,962,10194E,1P TKT A M-F 7:30-18:30,Queensberry,641,ERROL STREET,QUEENSBERRY STREET,VICTORIA STREET,2,False
17988,2017-07-19 16:34:05,2017-07-19 16:43:09,544,1355W,1/4P M-F 7:30-19:30,Supreme,1428,WILLIAM STREET,LONSDALE STREET,LITTLE BOURKE STREET,5,False
18400,2017-02-06 22:21:23,2017-02-07 00:00:00,5917,C556,,Regency,647,EXHIBITION STREET,LITTLE LONSDALE STREET,LONSDALE STREET,1,False
21146,2017-04-22 11:23:13,2017-04-22 12:30:00,4007,12280N,1/4P SAT 7:30-12:30,Jolimont,16,ALBERT STREET,MORRISON PLACE,LANSDOWNE STREET,3,False
